OppName,OppFPI,DukeFPI,FPI_diff,DukeFPI_NetChange,OppFPI_PrevYear,FPI_Diff_PrevYear,Surface,Month,Date,Year,Day,Start_Time,Site,Result,DukePts,OppPts,PointDiff,AttNum,AttPct,ESPN_WinPred,COVID_Limit,Rain,City,State,TV_Coverage,Bowl,DukeRankGametime,OppRankGametime,OppRankSeasonEnd,DukeRankedGametime,OppRankedGametime,OppRankedSeasonEnd,1stSeedQB,SchoolBreak,NatlHoliday,UNC_Game,Undefeated_All,Undefeated_Home,Game_After_Loss,Home_Game_After_Home_Loss,First_Game,First_Home_Game,Win_Streak,New_Coach,Record_Past_2,Record_Past_3,Record_Past_4,Record_Past_5,Future_Game,Rennovated
Wake Forest,-10.4,7.7,-18.1,1.2,-3.5,-10,Grass,11,29,2014,Sat,19,Home,W,41,21,20,22247,65.54609469,NA,FALSE,,Durham,NC,ESPNU,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,0,1,2,3,FALSE,FALSE
Arizona St.,14.2,7.7,6.5,1.2,21.9,15.4,Turf,12,27,2014,Sat,14,Neutral,L,31,36,-5,47809,100,NA,FALSE,,El Paso,TX,CBS,TRUE,NA,15,12,FALSE,TRUE,TRUE,,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,1,FALSE,1,1,2,3,FALSE,FALSE
Tulane,-16,5.1,-21.1,-2.6,-9.7,-17.4,Turf,9,3,2015,Thu,21.5,Away,W,37,7,30,25470,85,NA,FALSE,,New Orleans,LA,CBSSN,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,TRUE,FALSE,0,FALSE,1,1,1,2,FALSE,FALSE
N.C. Central,NA,5.1,NA,-2.6,NA,NA,Grass,9,12,2015,Sat,18,Home,W,55,0,55,33941,100,NA,FALSE,,Durham,NC,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,TRUE,TRUE,FALSE,,FALSE,TRUE,1,FALSE,1,2,2,2,FALSE,FALSE
Northwestern,4.8,5.1,-0.3,-2.6,1.8,-5.9,Grass,9,19,2015,Sat,12.5,Home,L,10,19,-9,24127,71.08511829,NA,FALSE,,Durham,NC,ESPN3,FALSE,NA,23,23,FALSE,TRUE,TRUE,,FALSE,,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,2,FALSE,2,2,3,3,FALSE,FALSE
Georgia Tech,10.2,5.1,5.1,-2.6,16,8.3,Grass,9,26,2015,Sat,12,Home,W,34,20,14,20101,59.22335818,NA,FALSE,,Durham,NC,ESPN2,FALSE,NA,20,NA,FALSE,TRUE,FALSE,,FALSE,,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,0,FALSE,1,2,2,3,FALSE,FALSE
Boston College,1.5,5.1,-3.6,-2.6,6,-1.7,Grass,10,3,2015,Sat,15.5,Home,W,9,7,2,20009,58.95229958,NA,FALSE,,Durham,NC,ESPN3,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,1,FALSE,1,2,3,3,FALSE,FALSE
Army,-14.9,5.1,-20,-2.6,-14.1,-21.8,Turf,10,10,2015,Sat,12,Away,W,44,3,41,39712,100,NA,FALSE,,West Point,NY,CBSSN,FALSE,NA,NA,NA,FALSE,FALSE,FALSE,,TRUE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,2,FALSE,2,2,3,4,FALSE,FALSE
Virginia Tech,9.5,5.1,4.4,-2.6,7.9,0.2,Grass,10,24,2015,Sat,15.5,Away,W,45,43,2,63257,96,NA,FALSE,,Blacksburg,VA,ESPNU,FALSE,23,NA,NA,TRUE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,3,FALSE,2,3,3,4,FALSE,FALSE
Miami (Fla.),6.4,5.1,1.3,-2.6,10.8,3.1,Grass,10,31,2015,Sat,19,Home,L,27,30,-3,30143,88.80999381,NA,FALSE,,Durham,NC,ESPNU,FALSE,22,NA,NA,TRUE,FALSE,FALSE,,FALSE,,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,4,FALSE,2,3,4,4,FALSE,FALSE
North Carolina,17,5.1,11.9,-2.6,4.4,-3.3,Grass,11,7,2015,Sat,12,Away,L,31,66,-35,60000,100,NA,FALSE,,Chapel Hill,NC,ESPN2,FALSE,NA,NA,15,FALSE,FALSE,TRUE,,FALSE,,TRUE,FALSE,FALSE,TRUE,,FALSE,FALSE,0,FALSE,1,2,3,4,FALSE,FALSE
