OppName,Year,OppFPI,DukeFPI,FPI_diff,DukeFPI_NetChange,OppFPI_PrevYear,FPI_Diff_PrevYear,Site,Month,Date,Day,Start_Time,Result,DukePts,OppPts,PointDiff,COVID_Limit,AttNum,AttPct,Renovated,Future_Game,UNC_Game,First_Game,First_Home_Game,Elko,Cutcliffe,Weather,Temp,Humidity,City,State,ESPN_WinPred,TV_Coverage,Bowl,DukeRankGametime,OppRankGametime,OppRankSeasonEnd,DukeRankedGametime,OppRankedGametime,OppRankedSeasonEnd,1stSeedQB,SchoolBreak,NatlHoliday,Undefeated_All,Undefeated_Home,Game_After_Loss,Home_Game_After_Home_Loss,Win_Streak,Record_Past_2,Record_Past_3,Record_Past_4,Record_Past_5,Surface,NC_Opponent,OppCityDist
North Carolina,2005,1.9,-13.8,15.7,NA,NA,NA,Away,11,19,Sat,13,L,21,24,-3,FALSE,55000,NA,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,53.1,24,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,TRUE,10.42
Richmond,2006,NA,-13.7,NA,0.1,NA,NA,Home,9,2,Sat,18,L,0,13,-13,FALSE,27546,81.15848089,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,83.3,51,,,NA,,,,,,,,,,,,NA,NA,NA,,0,0,0,0,0,,FALSE,133.98
Wake Forest,2006,6.5,-13.7,20.2,0.1,1.1,14.9,Away,9,9,Sat,12,L,13,14,-1,FALSE,26071,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,80.1,60,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,TRUE,75.75
Virginia Tech,2006,14,-13.7,27.7,0.1,22.6,36.4,Away,9,16,Sat,12,L,0,36,-36,FALSE,66233,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,71.8,65,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,119.79
Virginia,2006,0.4,-13.7,14.1,0.1,7.7,21.5,Home,9,30,Sat,12,L,0,37,-37,FALSE,19241,56.68954951,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,72.3,48,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,142.54
Alabama,2006,8.4,-13.7,22.1,0.1,14.8,28.6,Away,10,7,Sat,19.11666667,L,14,30,-16,FALSE,92138,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,75,36,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,529.05
Florida St.,2006,9.9,-13.7,23.6,0.1,11.7,25.5,Home,10,14,Sat,13,L,24,51,-27,FALSE,17525,51.63371733,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,61.3,25,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,493.91
Miami (Fla.),2006,7.1,-13.7,20.8,0.1,16.7,30.5,Home,10,21,Sat,13,L,15,20,-5,FALSE,16291,47.99799652,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,61.3,48,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,716.28
Vanderbilt,2006,-0.1,-13.7,13.6,0.1,1.2,15,Home,10,28,Sat,13,L,28,45,-17,FALSE,14198,41.83141333,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,70.3,46,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,440.39
Navy,2006,3.3,-13.7,17,0.1,-1.5,12.3,Home,11,4,Sat,14,L,13,38,-25,FALSE,17782,52.39091364,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,50.4,26,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,244.78
Boston College,2006,11.7,-13.7,25.4,0.1,12.1,25.9,Away,11,11,Sat,19,L,7,28,-21,FALSE,42326,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,55.6,80,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,600.94
Georgia Tech,2006,8.3,-13.7,22,0.1,6.6,20.4,Away,11,18,Sat,13.5,L,21,49,-28,FALSE,46768,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,60.6,23,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,347.61
North Carolina,2006,-4.8,-13.7,8.9,0.1,1.9,15.7,Home,11,25,Sat,12,L,44,45,-1,FALSE,24478,72.11926578,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,61.3,32,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,TRUE,10.42
Connecticut,2007,5.7,-9.5,15.2,4.2,-2.4,11.3,Home,9,1,Sat,14,L,14,45,-31,FALSE,17251,50.82643411,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,,85.3,42,,,NA,,,,,,,,,,,,NA,NA,NA,,0,0,0,0,0,,FALSE,537.14
Virginia,2007,7.9,-9.5,17.4,4.2,0.4,14.1,Away,9,8,Sat,12,L,13,24,-11,FALSE,58554,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,80.4,64,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,142.54
Northwestern,2007,-4,-9.5,5.5,4.2,-3.9,9.8,Away,9,15,Sat,20.11666667,W,20,14,6,FALSE,23716,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,54.1,50,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,0,0,,FALSE,629.97
Navy,2007,-2.6,-9.5,6.9,4.2,3.3,17,Away,9,22,Sat,13,L,43,46,-3,FALSE,31278,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,80.6,70,,,NA,,,,,,,,,,,,FALSE,FALSE,FALSE,,1,1,1,1,1,,FALSE,244.78
Miami (Fla.),2007,1.3,-9.5,10.8,4.2,7.1,20.8,Away,9,29,Sat,12,L,14,24,-10,FALSE,30614,NA,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,,,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,1,1,1,1,,FALSE,716.28
Wake Forest,2007,6.5,-9.5,16,4.2,6.5,20.2,Home,10,6,Sat,13,L,36,41,-5,FALSE,20134,59.32058572,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,75.4,82,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,1,1,1,,TRUE,75.75
Virginia Tech,2007,16.3,-9.5,25.8,4.2,14,27.7,Home,10,13,Sat,12,L,14,43,-29,FALSE,23691,69.80053622,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,,66.4,34,,,NA,,,,,,,,,,,,FALSE,FALSE,TRUE,,0,0,0,1,1,,FALSE,119.79
